seed: 4, epochs: 20, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 50, batch_size: 64, learning_rate: 0.01, model: mlp, dataset: RT_IOT2022, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [0], num_workers: 0, record_time: False, num_adv: 10, attack: Gaussian, defense: Mean, attack_params: {'noise_mean': 0, 'noise_std': 1}, defense_params: None, benchmark: False, num_training_sample: 123117, num_channels: 82, num_classes: 12, num_features: 82, mean: None, std: None, device: cuda:0, output: ./logs/FedSGD/RT_IOT2022_mlp/iid/RT_IOT2022_mlp_iid_Gaussian_Mean_20_50_0.01_FedSGD.txt

Started on Wed Aug  5 12:31:54 2026
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.7775	Train loss: 0.0375	Test Acc: 0.7582	Test loss: 0.0360
Epoch 1  		Train Acc: 0.7453	Train loss: 0.0360	Test Acc: 0.2464	Test loss: 0.0372
Epoch 2  		Train Acc: 0.2500	Train loss: 0.0370	Test Acc: 0.0193	Test loss: 0.0442
Epoch 3  		Train Acc: 0.0147	Train loss: 0.0444	Test Acc: 0.0187	Test loss: 0.0475
Epoch 4  		Train Acc: 0.0187	Train loss: 0.0471	Test Acc: 0.0661	Test loss: 0.0432
Epoch 5  		Train Acc: 0.0612	Train loss: 0.0435	Test Acc: 0.2753	Test loss: 0.0450
Epoch 6  		Train Acc: 0.2744	Train loss: 0.0436	Test Acc: 0.3508	Test loss: 0.0391
Epoch 7  		Train Acc: 0.3528	Train loss: 0.0384	Test Acc: 0.6409	Test loss: 0.0503
Epoch 8  		Train Acc: 0.6422	Train loss: 0.0485	Test Acc: 0.7005	Test loss: 0.0561
Epoch 9  		Train Acc: 0.6950	Train loss: 0.0550	Test Acc: 0.7498	Test loss: 0.0490
Epoch 10 		Train Acc: 0.7531	Train loss: 0.0464	Test Acc: 0.7881	Test loss: 0.0551
Epoch 11 		Train Acc: 0.7919	Train loss: 0.0547	Test Acc: 0.7770	Test loss: 0.0474
Epoch 12 		Train Acc: 0.7747	Train loss: 0.0464	Test Acc: 0.5122	Test loss: 0.0517
Epoch 13 		Train Acc: 0.5094	Train loss: 0.0533	Test Acc: 0.4074	Test loss: 0.0587
Epoch 14 		Train Acc: 0.3969	Train loss: 0.0597	Test Acc: 0.8080	Test loss: 0.0475
Epoch 15 		Train Acc: 0.8141	Train loss: 0.0432	Test Acc: 0.8119	Test loss: 0.0594
Epoch 16 		Train Acc: 0.8247	Train loss: 0.0481	Test Acc: 0.7338	Test loss: 0.0754
Epoch 17 		Train Acc: 0.7334	Train loss: 0.0679	Test Acc: 0.7687	Test loss: 0.0692
Epoch 18 		Train Acc: 0.7678	Train loss: 0.0669	Test Acc: 0.8673	Test loss: 0.0650
Epoch 19 		Train Acc: 0.8641	Train loss: 0.0631	Test Acc: 0.8675	Test loss: 0.0711
Training finished on Wed Aug  5 12:32:09 2026 using 0 minutes and 15 seconds in total.
