seed: 4, epochs: 20, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 50, batch_size: 64, learning_rate: 0.01, model: mlp, dataset: RT_IOT2022, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [0], num_workers: 0, record_time: False, num_adv: 40, attack: LabelFlipping, defense: TrimmedMean, defense_params: {'beta': 0.1}, benchmark: False, num_training_sample: 123117, num_channels: 82, num_classes: 12, num_features: 82, mean: None, std: None, device: cuda:0, attack_params: None, output: ./logs/FedSGD/RT_IOT2022_mlp/iid/RT_IOT2022_mlp_iid_LabelFlipping_TrimmedMean_20_50_0.01_FedSGD.txt

Started on Thu Aug  6 16:19:25 2026
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.1713	Train loss: 0.0386	Test Acc: 0.7760	Test loss: 0.0375	ASR: 0.9824	ASR loss: 0.0370
Epoch 1  		Train Acc: 0.1759	Train loss: 0.0385	Test Acc: 0.7746	Test loss: 0.0376	ASR: 0.9786	ASR loss: 0.0371
Epoch 2  		Train Acc: 0.1741	Train loss: 0.0383	Test Acc: 0.7671	Test loss: 0.0376	ASR: 0.9657	ASR loss: 0.0371
Epoch 3  		Train Acc: 0.1794	Train loss: 0.0380	Test Acc: 0.7191	Test loss: 0.0376	ASR: 0.9076	ASR loss: 0.0371
Epoch 4  		Train Acc: 0.1581	Train loss: 0.0377	Test Acc: 0.0082	Test loss: 0.0376	ASR: 0.0000	ASR loss: 0.0372
Epoch 5  		Train Acc: 0.6278	Train loss: 0.0373	Test Acc: 0.0083	Test loss: 0.0377	ASR: 0.0000	ASR loss: 0.0372
Epoch 6  		Train Acc: 0.6166	Train loss: 0.0369	Test Acc: 0.0083	Test loss: 0.0377	ASR: 0.0000	ASR loss: 0.0373
Epoch 7  		Train Acc: 0.6138	Train loss: 0.0365	Test Acc: 0.0082	Test loss: 0.0377	ASR: 0.0000	ASR loss: 0.0374
Epoch 8  		Train Acc: 0.6262	Train loss: 0.0359	Test Acc: 0.0081	Test loss: 0.0378	ASR: 0.0000	ASR loss: 0.0374
Epoch 9  		Train Acc: 0.6234	Train loss: 0.0354	Test Acc: 0.0081	Test loss: 0.0378	ASR: 0.0000	ASR loss: 0.0375
Epoch 10 		Train Acc: 0.6291	Train loss: 0.0348	Test Acc: 0.0081	Test loss: 0.0379	ASR: 0.0000	ASR loss: 0.0376
Epoch 11 		Train Acc: 0.6275	Train loss: 0.0342	Test Acc: 0.0081	Test loss: 0.0380	ASR: 0.0000	ASR loss: 0.0377
Epoch 12 		Train Acc: 0.6131	Train loss: 0.0338	Test Acc: 0.0081	Test loss: 0.0381	ASR: 0.0000	ASR loss: 0.0378
Epoch 13 		Train Acc: 0.6216	Train loss: 0.0330	Test Acc: 0.0081	Test loss: 0.0382	ASR: 0.0000	ASR loss: 0.0379
Epoch 14 		Train Acc: 0.6250	Train loss: 0.0323	Test Acc: 0.0081	Test loss: 0.0383	ASR: 0.0000	ASR loss: 0.0380
Epoch 15 		Train Acc: 0.6312	Train loss: 0.0316	Test Acc: 0.0081	Test loss: 0.0385	ASR: 0.0000	ASR loss: 0.0382
Epoch 16 		Train Acc: 0.6294	Train loss: 0.0310	Test Acc: 0.0081	Test loss: 0.0387	ASR: 0.0000	ASR loss: 0.0384
Epoch 17 		Train Acc: 0.6222	Train loss: 0.0304	Test Acc: 0.0081	Test loss: 0.0389	ASR: 0.0000	ASR loss: 0.0386
Epoch 18 		Train Acc: 0.6312	Train loss: 0.0296	Test Acc: 0.0081	Test loss: 0.0392	ASR: 0.0000	ASR loss: 0.0389
Epoch 19 		Train Acc: 0.6319	Train loss: 0.0288	Test Acc: 0.0081	Test loss: 0.0395	ASR: 0.0000	ASR loss: 0.0392
Training finished on Thu Aug  6 16:19:49 2026 using 0 minutes and 24 seconds in total.
